Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
10,CC[N+](C)(CC)CCC(C)C,59061293.0,diethyl-methyl-(3-methylbutyl)azanium,158.3,C10H24N+,93.0,5.0,11.0,2.7,,,,
10,CC[N+](CC)(CC)CC(C)C,13513450.0,triethyl(2-methylpropyl)azanium,158.3,C10H24N+,84.0,5.0,11.0,2.7,,,,
11,CC(C)CCCCC[N+](C)(C)C,54390726.0,trimethyl(6-methylheptyl)azanium,172.33,C11H26N+,100.0,6.0,12.0,3.4,,,,
11,CC(C)CC[N+](C)(C)CC(C)C,168144637.0,dimethyl-(3-methylbutyl)-(2-methylpropyl)azanium,172.33,C11H26N+,114.0,5.0,12.0,3.3,,,,
11,CCC(C)C(C)(C)C[N+](C)(C)C,148436643.0,"trimethyl(2,2,3-trimethylpentyl)azanium",172.33,C11H26N+,130.0,4.0,12.0,3.3,,,,
11,CCC(C)CC[N+](C)(CC)CC,155157986.0,diethyl-methyl-(3-methylpentyl)azanium,172.33,,,,,,,,,
11,CCC(C)C[N+](C)(C)CC(C)C,146880729.0,dimethyl-(2-methylbutyl)-(2-methylpropyl)azanium,172.33,C11H26N+,116.0,5.0,12.0,3.3,,,,
11,CCC(C)C[N+](CC)(CC)CC,13426949.0,triethyl(2-methylbutyl)azanium,172.33,C11H26N+,97.0,6.0,12.0,3.1,,,,
11,CCCC(C)(C)C[N+](C)(C)CC,171625777.0,"2,2-dimethylpentyl-ethyl-dimethylazanium",172.33,C11H26N+,125.0,5.0,12.0,3.3,,,,
11,CCCC(C)CCC[N+](C)(C)C,123879569.0,trimethyl(4-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.4,,,,
11,CCCCC(C)(C)C[N+](C)(C)C,149322603.0,"2,2-dimethylhexyl(trimethyl)azanium",172.33,C11H26N+,119.0,5.0,12.0,3.4,,,,
11,CCCCC(C)CC[N+](C)(C)C,157074067.0,trimethyl(3-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.6,,,,
11,CCCCCC(C)C[N+](C)(C)C,89351182.0,trimethyl(2-methylheptyl)azanium,172.33,C11H26N+,102.0,6.0,12.0,3.6,,,,
11,CCCCCCCC[N+](C)(C)C,24950.0,trimethyl(octyl)azanium,172.33,C11H26N+,91.0,7.0,12.0,4.2,10108-86-8,2083-68-3,,
11,CCCCCCC[N+](C)(C)CC,23088859.0,ethyl-heptyl-dimethylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.5,,,,
11,CCCCCC[N+](C)(C)CCC,23088822.0,hexyl-dimethyl-propylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.5,,,,
11,CCCCCC[N+](C)(CC)CC,11672744.0,diethyl-hexyl-methylazanium,172.33,C11H26N+,95.0,7.0,12.0,3.3,,,,
11,CCCCC[N+](C)(C)CCCC,53780101.0,butyl-dimethyl-pentylazanium,172.33,C11H26N+,97.0,7.0,12.0,3.3,,,,
11,CCCCC[N+](C)(CC)CCC,23088854.0,ethyl-methyl-pentyl-propylazanium,172.33,C11H26N+,101.0,7.0,12.0,3.3,,,,
11,CCCCC[N+](CC)(CC)CC,152429.0,triethyl(pentyl)azanium,172.33,C11H26N+,86.0,7.0,12.0,3.2,,,,
11,CCCC[N+](C)(C)CC(C)(C)C,123234305.0,"butyl-(2,2-dimethylpropyl)-dimethylazanium",172.33,C11H26N+,119.0,5.0,12.0,3.3,,,,
11,CCCC[N+](C)(C)CC(C)CC,88981039.0,butyl-dimethyl-(2-methylbutyl)azanium,172.33,C11H26N+,108.0,6.0,12.0,3.2,,,,
11,CCCC[N+](C)(C)CCC(C)C,123373067.0,butyl-dimethyl-(3-methylbutyl)azanium,172.33,C11H26N+,106.0,6.0,12.0,3.2,,,,
11,CCCC[N+](C)(CC)CCCC,22487000.0,dibutyl-ethyl-methylazanium,172.33,C11H26N+,91.0,7.0,12.0,3.1,,,,
11,CCCC[N+](C)(CCC)CCC,87509031.0,butyl-methyl-dipropylazanium,172.33,C11H26N+,93.0,7.0,12.0,3.3,,,,
11,CCCC[N+](CC)(CC)CCC,5249160.0,butyl-diethyl-propylazanium,172.33,C11H26N+,95.0,7.0,12.0,3.2,,,,
11,CCC[N+](C)(C)CCC(C)CC,88872659.0,dimethyl-(3-methylpentyl)-propylazanium,172.33,C11H26N+,108.0,6.0,12.0,3.4,,,,
11,CCC[N+](C)(C)CCCC(C)C,15636633.0,dimethyl-(4-methylpentyl)-propylazanium,172.33,C11H26N+,106.0,6.0,12.0,3.2,,,,
11,CCC[N+](C)(CC)CC(C)CC,90726542.0,ethyl-methyl-(2-methylbutyl)-propylazanium,172.33,C11H26N+,112.0,6.0,12.0,3.2,,,,
11,CCC[N+](C)(CC)CCC(C)C,177124344.0,ethyl-methyl-(3-methylbutyl)-propylazanium,172.33,,,,,,,,,
11,CCC[N+](CC)(CCC)CCC,417995.0,ethyl(tripropyl)azanium,172.33,C11H26N+,82.0,7.0,12.0,3.3,58877-74-0,61175-76-6,"679-912-1, 15066-80-5",
11,CC[N+](C)(CC(C)C)CC(C)C,85967981.0,ethyl-methyl-bis(2-methylpropyl)azanium,172.33,,,,,,,,,
11,CC[N+](C)(CC)CCCC(C)C,140874558.0,diethyl-methyl-(4-methylpentyl)azanium,172.33,C11H26N+,104.0,6.0,12.0,3.1,,,,
11,CC[N+](CC)(CC)CC(C)(C)C,101571593.0,"2,2-dimethylpropyl(triethyl)azanium",172.33,,,,,,,,,
11,CC[N+](CC)(CC)CCC(C)C,88868799.0,triethyl(3-methylbutyl)azanium,172.33,C11H26N+,95.0,6.0,12.0,3.1,,,,
12,CC(C)(C)C[N+](C)(C)CC(C)(C)C,22385960.0,"bis(2,2-dimethylpropyl)-dimethylazanium",186.36,C12H28N+,137.0,4.0,13.0,3.7,,,,
12,CC(C)CCC[N+](C)(C)CC(C)C,15636639.0,dimethyl-(4-methylpentyl)-(2-methylpropyl)azanium,186.36,C12H28N+,125.0,6.0,13.0,3.7,,,,
12,CC(C)CC[N+](C)(C)CCC(C)C,58574232.0,dimethyl-bis(3-methylbutyl)azanium,186.36,C12H28N+,111.0,6.0,13.0,3.7,,,,
12,CCC(C)(C)C[N+](CC)(CC)CC,141911261.0,"2,2-dimethylbutyl(triethyl)azanium",186.36,C12H28N+,126.0,6.0,13.0,3.5,,,,
12,CCC(C)CC[N+](CC)(CC)CC,124171270.0,triethyl(3-methylpentyl)azanium,186.36,C12H28N+,108.0,7.0,13.0,3.6,,,,
12,CCC(C)C[N+](C)(C)CC(C)(C)C,123931432.0,"2,2-dimethylpropyl-dimethyl-(2-methylbutyl)azanium",186.36,C12H28N+,142.0,5.0,13.0,3.7,,,,
12,CCC(C)C[N+](C)(C)CC(C)CC,53930784.0,dimethyl-bis(2-methylbutyl)azanium,186.36,C12H28N+,115.0,6.0,13.0,3.7,,,,
12,CCCCC(C)CC[N+](C)(C)CC,123299227.0,ethyl-dimethyl-(3-methylheptyl)azanium,186.36,C12H28N+,118.0,7.0,13.0,4.0,,,,
12,CCCCCCCCC[N+](C)(C)C,37620.0,trimethyl(nonyl)azanium,186.36,C12H28N+,102.0,8.0,13.0,5.0,58828-83-4,1943-11-9,37074-52-5,
12,CCCCCCCC[N+](C)(C)CC,57314278.0,ethyl-dimethyl-octylazanium,186.36,C12H28N+,108.0,8.0,13.0,4.1,,,,
12,CCCCCCC[N+](C)(C)CCC,23088846.0,heptyl-dimethyl-propylazanium,186.36,C12H28N+,108.0,8.0,13.0,4.0,,,,
