SMILES,cid
CCCCCC[N+](CCC)(CCC)CCCC,23088825.0
CCCCC[N+](C)(CCCCC)CCCCC,13767188.0
CCCCC[N+](CC)(CCCC)CCCCC,118020801.0
CCCCC[N+](CC)(CCCCC)CC(C)C,87479471.0
CCCCC[N+](CCC)(CCC)CCCCC,85717237.0
CCCCC[N+](CCC)(CCCC)CCCC,142514259.0
CCCC[N+](CCCC)(CC(C)C)CC(C)C,57477251.0
CCCC[N+](CCCC)(CCCC)CC(C)C,19858534.0
CCCC[N+](CCCC)(CCCC)CCCC,16028.0
CCC[N+](CCC)(CCC(C)C)CCC(C)C,127262902.0
CCCCCCCCCCCCCC[N+](C)(C)C,14251.0
CCCCCCCCCCCCC[N+](C)(C)CC,87744372.0
CCCCCCCCCCCC[N+](C)(C)CCC,10786192.0
CCCCCCCCCCCC[N+](C)(CC)CC,14494908.0
CCCCCCCCCCC[N+](C)(C)CCCC,122481735.0
CCCCCCCCCCC[N+](C)(CC)CCC,158020210.0
CCCCCCCCCCC[N+](CC)(CC)CC,11701609.0
CCCCCCCCCC[N+](C)(C)CCC(C)C,159915860.0
CCCCCCCCCC[N+](C)(C)CCCCC,122481312.0
CCCCCCCCCC[N+](C)(CCC)CCC,127262909.0
CCCCCCCCCC[N+](CC)(CC)CCC,150914213.0
CCCCCCCCC[N+](C)(C)CCCC(C)C,161625673.0
CCCCCCCCC[N+](C)(C)CCCCCC,53961664.0
CCCCCCCC[N+](C)(C)CCCCC(C)C,157100789.0
CCCCCCCC[N+](C)(C)CCCCCCC,53805370.0
CCCCCCCC[N+](C)(CCCC)CCCC,127262900.0
CCCCCCCC[N+](CCC)(CCC)CCC,54170758.0
CCCCCCC[N+](C)(CCC)CCCCCC,54058603.0
CCCCCCC[N+](CCC)(CCC)CCCC,151952654.0
CCCCCC[N+](C)(CCCC)CCCCCC,57010389.0
CCCCCC[N+](C)(CCCCC)CCCCC,53812961.0
CCCCCC[N+](CC)(CCC)CCCC(C)C,123477148.0
CCCCCC[N+](CCC)(CCCC)CCCC,151583097.0
CCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,19035240.0
CCCCC[N+](CC)(CCCCC)CCCCC,14022639.0
CCCCC[N+](CCC)(CCCC)CCCCC,54574573.0
CCCCC[N+](CCCC)(CCCC)CCCC,3528502.0
CCCC[N+](CCCC)(CCCC)CC(C)(C)C,59364675.0
CCCC[N+](CCCC)(CCCC)CCC(C)C,18185862.0
CC(C)CCCCC[N+](C)(C)CCCCCC(C)C,19706500.0
CCCCCCCCCCCCCCC[N+](C)(C)C,423584.0
CCCCCCCCCCCC[N+](C)(C)CC(C)C,85551862.0
CCCCCCCCCCCC[N+](C)(C)CCCC,407819.0
CCCCCCCCCCCC[N+](CC)(CC)CC,28940.0
CCCCCCCCCCC[N+](C)(C)CCC(C)C,157493963.0
CCCCCCCCCCC[N+](C)(C)CCCCC,122481535.0
CCCCCCCCCC[N+](CC)(CCC)CCC,152402758.0
CCCCCCCCC[N+](CCC)(CCC)CCC,22408878.0
CCCCCCCC[N+](C)(C)CCCCCCCC,62582.0
CCCCCCCC[N+](CC)(CC)CCCCCC,88102340.0
CCCCCCCC[N+](CC)(CCCC)CCCC,152181181.0
CCCCCCCC[N+](CCC)(CCC)CCCC,87493375.0
CCCCCCC[N+](C)(CCCC)CCCCCC,175529229.0
CCCCCCC[N+](CC)(CC)CCCCCCC,87534239.0
CCCCCC[N+](C)(CCCCC)CCCCCC,23534989.0
CCCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,176583038.0
CCCCCC[N+](CC)(CCCCCC)CC(C)C,87480234.0
CCCCCC[N+](CCC)(CCC)CCCCCC,23088856.0
CCCCCC[N+](CCCC)(CCCC)CCCC,19858518.0
CCCCC[N+](CCC)(CCCCC)CCCCC,14022636.0
CCCCC[N+](CCCC)(CCCC)CCCCC,87534260.0
CCCC[N+](CCCC)(CCC(C)C)CCC(C)C,44721198.0
CCCC[N+](CCCC)(CCCC)CCCC(C)C,150353238.0
CCCCCCCCCCCCCCCC[N+](C)(C)C,2681.0
CCCCCCCCCCCCCCC[N+](C)(C)CC,2724228.0
CCCCCCCCCCCCCC[N+](C)(C)CCC,19704734.0
CCCCCCCCCCCCCC[N+](C)(CC)CC,54500718.0
CCCCCCCCCCCCC[N+](C)(C)CCCC,53775594.0
CCCCCCCCCCCCC[N+](CC)(CC)CC,10446619.0
CCCCCCCCCCCC[N+](C)(C)CCC(C)C,85551865.0
CCCCCCCCCCCC[N+](C)(C)CCCCC,54510551.0
CCCCCCCCCCCC[N+](C)(CC)CCCC,14494864.0
CCCCCCCCCCCC[N+](C)(CCC)CCC,118583984.0
CCCCCCCCCCCC[N+](CC)(CC)CCC,14494918.0
CCCCCCCCCCC[N+](C)(C)CCCC(C)C,157819828.0
CCCCCCCCCCC[N+](C)(C)CCCCCC,19369143.0
CCCCCCCCCCC[N+](CC)(CC)CCCC,87495438.0
CCCCCCCCCC[N+](C)(C)CCCCC(C)C,157100791.0
CCCCCCCCCC[N+](C)(C)CCCCCCC,87129446.0
CCCCCCCCCC[N+](C)(CC(C)C)CC(C)C,176583048.0
CCCCCCCCCC[N+](C)(CCCC)CCCC,13743819.0
CCCCCCCCCC[N+](CCC)(CCC)CCC,18778973.0
CCCCCCCCC[N+](C)(C)CCCCCCCC,85623243.0
CCCCCCCC[N+](C)(CC)CCCCCCCC,54567820.0
