Index,Num_c,SMILES,cid,iupac_name,molecular_weight,molecular_formula,complexity,rotatable_bond_count,heavy_atom_count,xlogp,Chloride_CAS,Bromide_CAS,Iodide_CAS,Fluoride_CAS
0050,10,CCCC[N+](C)(CC)CCC,20268953.0,butyl-ethyl-methyl-propylazanium,158.3,C10H24N+,90.0,6.0,11.0,2.8,,,,
0051,10,CCCC[N+](CC)(CC)CC,45719.0,butyl(triethyl)azanium,158.3,,,,,,24344-65-8,13028-69-8,4186-63-4,
0052,10,CCC[N+](C)(C)CC(C)(C)C,90225462.0,"2,2-dimethylpropyl-dimethyl-propylazanium",158.3,C10H24N+,109.0,4.0,11.0,2.9,,,,
0053,10,CCC[N+](C)(C)CC(C)CC,18715935.0,dimethyl-(2-methylbutyl)-propylazanium,158.3,C10H24N+,97.0,5.0,11.0,2.9,,,,
0054,10,CCC[N+](C)(C)CCC(C)C,90967482.0,dimethyl-(3-methylbutyl)-propylazanium,158.3,C10H24N+,95.0,5.0,11.0,2.9,,,,
0055,10,CCC[N+](C)(CC)CC(C)C,44719323.0,ethyl-methyl-(2-methylpropyl)-propylazanium,158.3,C10H24N+,99.0,5.0,11.0,2.9,,,,
0056,10,CCC[N+](C)(CCC)CCC,77068.0,methyl(tripropyl)azanium,158.3,C10H24N+,71.0,6.0,11.0,3.0,75373-66-9,,3531-14-4,
0057,10,CCC[N+](CC)(CC)CCC,13879586.0,diethyl(dipropyl)azanium,158.3,C10H24N+,76.0,6.0,11.0,2.8,,71095-63-1,,
0058,10,CC[N+](C)(C)CCCC(C)C,15636631.0,ethyl-dimethyl-(4-methylpentyl)azanium,158.3,C10H24N+,95.0,5.0,11.0,2.7,,,,
0059,10,CC[N+](C)(CC)CC(C)(C)C,,,,,,,,,,,,
0060,10,CC[N+](C)(CC)CCC(C)C,59061293.0,diethyl-methyl-(3-methylbutyl)azanium,158.3,C10H24N+,93.0,5.0,11.0,2.7,,,,
