Index,Num_c,SMILES,mol_weight,xlogp,num_rotatable_bonds,bertz_ct,HOMO,LUMO,gap,predicted_gap
104,12,CCCCCC[N+](C)(C)CC(C)C,186.36,3.9,12,111.21,-9.915,-3.047,6.868,7.236058712005615
105,12,CCCCCC[N+](C)(C)CCCC,186.36,3.9,12,102.61,-9.839,-3.019,6.82,7.275346755981445
106,12,CCCCCC[N+](C)(CC)CCC,186.36,3.9,12,106.61,-9.825,-2.948,6.877,7.123546600341797
107,12,CCCCCC[N+](CC)(CC)CC,186.36,3.7,12,92.34,-9.806,-2.768,7.038,7.245200157165527
108,12,CCCCC[N+](C)(C)CCC(C)C,186.36,3.8,12,111.21,-10.32,-3.012,7.308,7.54288387298584
109,12,CCCCC[N+](C)(C)CCCCC,186.36,3.9,12,90.61,-10.337,-2.979,7.358,7.454253196716309
110,12,CCCCC[N+](C)(CC)CCCC,186.36,3.7,12,106.61,-10.202,-2.744,7.458,7.524490833282471
111,12,CCCCC[N+](C)(CCC)CCC,186.36,3.9,12,98.61,-10.199,-2.722,7.477,7.5795135498046875
112,12,CCCCC[N+](CC)(CC)CCC,186.36,3.7,12,100.61,-10.322,-2.706,7.616,7.64243221282959
113,12,CCCC[N+](C)(C)CCCC(C)C,186.36,3.6,12,111.21,-10.145,-3.01,7.135,7.353242874145508
114,12,CCCC[N+](C)(CCC)CC(C)C,186.36,3.8,12,115.21,-10.69,-2.665,8.025,7.939610481262207
115,12,CCCC[N+](C)(CCC)CCCC,186.36,3.7,12,96.61,-10.708,-2.856,7.852,7.887450218200684
116,12,CCCC[N+](CC)(CC)CCCC,186.36,3.5,12,90.61,-10.666,-2.667,7.999,7.9537200927734375
117,12,CCCC[N+](CC)(CCC)CCC,186.36,3.7,12,98.61,-10.709,-2.484,8.225,7.966534614562988
118,12,CCC[N+](C)(C)CCCCC(C)C,186.36,3.8,12,111.21,-9.795,-3.068,6.727,6.99222469329834
119,12,CCC[N+](C)(CCC)CC(C)CC,186.36,3.8,12,109.21,-10.682,-2.841,7.841,7.867232322692871
120,12,CCC[N+](CC)(CC)CCC(C)C,186.36,3.6,12,109.21,-10.495,-2.676,7.819,7.765612602233887
121,12,CCC[N+](CC)(CCC)CC(C)C,186.36,3.8,12,107.21,-11.01,-2.646,8.364,8.10802936553955
122,12,CCC[N+](CCC)(CCC)CCC,186.36,3.9,12,75.1,-11.456,-3.073,8.383,8.224852561950684
123,12,CC[N+](CC)(CC(C)C)CC(C)C,186.36,3.7,12,106.0,-11.01,-2.666,8.344,8.112361907958984
124,12,CC[N+](CC)(CC)CCCC(C)C,186.36,3.4,12,100.94,-10.104,-2.896,7.208,7.596016883850098
125,13,CC(C)CCC[N+](C)(C)CCC(C)C,200.39,4.0,13,130.97,,,,7.366218566894531
126,13,CC(C)C[N+](C)(CC(C)C)CC(C)C,200.39,4.3,13,115.59,,,,8.06187915802002
127,13,CCCCC(C)C[N+](C)(CC)CCC,200.39,4.3,13,128.0,,,,7.207660675048828
128,13,CCCCC(C)C[N+](CC)(CC)CC,200.39,4.2,13,113.74,,,,7.270564556121826
129,13,CCCCCCCCCC[N+](C)(C)C,200.39,5.3,13,107.7,,,,6.3415632247924805
130,13,CCCCCCCCC[N+](C)(C)CC,200.39,4.6,13,113.21,,,,6.486841201782227
131,13,CCCCCCCC[N+](C)(C)CCC,200.39,4.6,13,113.21,,,,6.742610454559326
132,13,CCCCCCCC[N+](C)(CC)CC,200.39,4.4,13,111.21,,,,6.610786437988281
133,13,CCCCCCC[N+](C)(C)CCCC,200.39,4.4,13,113.21,,,,6.9908552169799805
134,13,CCCCCCC[N+](CC)(CC)CC,200.39,4.3,13,102.94,,,,6.95263671875
135,13,CCCCCC[N+](C)(C)CCC(C)C,200.39,4.3,13,122.0,,,,7.343048095703125
136,13,CCCCCC[N+](C)(C)CCCCC,200.39,4.4,13,113.21,,,,7.345148086547852
137,13,CCCCCC[N+](C)(CC)CCCC,200.39,4.2,13,117.21,,,,7.448552131652832
138,13,CCCCCC[N+](C)(CCC)CCC,200.39,4.4,13,109.21,,,,7.472516059875488
139,13,CCCCCC[N+](CC)(CC)CCC,200.39,4.2,13,111.21,,,,7.393200874328613
140,13,CCCCC[N+](C)(C)CCCC(C)C,200.39,4.1,13,122.0,,,,7.387273788452148
141,13,CCCCC[N+](C)(CC)CCCCC,200.39,4.2,13,105.21,,,,7.678484916687012
142,13,CCCCC[N+](C)(CCC)CCCC,200.39,4.2,13,117.21,,,,7.854622840881348
143,13,CCCCC[N+](CC)(CC)CCCC,200.39,4.1,13,111.21,,,,7.584465026855469
144,13,CCCCC[N+](CC)(CCC)CCC,200.39,4.2,13,109.21,,,,7.8492841720581055
145,13,CCCC[N+](C)(C)CCCCC(C)C,200.39,4.1,13,122.0,,,,7.106960296630859
146,13,CCCC[N+](C)(CCC)CC(C)(C)C,200.39,4.2,9,140.61,,,,7.841772079467773
147,13,CCCC[N+](C)(CCCC)CCCC,200.39,4.0,13,93.43,,,,7.886100769042969
148,13,CCCC[N+](CC)(CCC)CCCC,200.39,4.0,13,107.21,,,,8.004064559936523
149,13,CCCC[N+](CCC)(CCC)CCC,200.39,4.2,13,98.19,,,,8.018899917602539
150,13,CCC[N+](CCC)(CCC)CC(C)C,200.39,4.3,13,106.98,,,,8.146112442016602
151,13,CC[N+](C)(CC(C)(C)C)CC(C)(C)C,200.39,4.1,5,147.46,,,,7.782343864440918
152,13,CC[N+](CC)(CC)CCCCC(C)C,200.39,4.0,13,111.74,,,,7.105218887329102
153,14,CC(C)CCC[N+](C)(C)CCCC(C)C,214.42,4.4,14,126.12,,,,7.4942779541015625
154,14,CCC(C)CCCC[N+](CC)(CC)CC,214.42,4.5,14,124.71,,,,6.93142032623291
155,14,CCCCC(C)(C)C[N+](C)(C)CCCC,214.42,4.7,14,135.42,,,,7.52871036529541
156,14,CCCCCCCCCCC[N+](C)(C)C,214.42,5.3,14,118.49,,,,6.352058410644531
157,14,CCCCCCCCCC[N+](C)(C)CC,214.42,5.1,14,124.0,,,,6.429518699645996
158,14,CCCCCCCCC[N+](C)(C)CCC,214.42,5.1,14,124.0,,,,6.387714385986328
159,14,CCCCCCCCC[N+](C)(CC)CC,214.42,5.0,14,122.0,,,,6.352047920227051
160,14,CCCCCCCC[N+](C)(C)CCCC,214.42,4.9,14,124.0,,,,6.877822399139404
161,14,CCCCCCCC[N+](CC)(CC)CC,214.42,4.8,14,113.74,,,,6.8437700271606445
162,14,CCCCCCC[N+](C)(C)CCC(C)C,214.42,4.8,14,132.97,,,,7.320539474487305
163,14,CCCCCCC[N+](C)(C)CCCCC,214.42,4.9,14,124.0,,,,7.308101654052734
164,14,CCCCCCC[N+](C)(CC)CCCC,214.42,4.8,14,128.0,,,,7.079596519470215
165,14,CCCCCC[N+](C)(C)CCCC(C)C,214.42,4.7,14,132.97,,,,7.40248441696167
166,14,CCCCCC[N+](C)(C)CCCCCC,214.42,4.9,14,110.0,,,,7.415227890014648
167,14,CCCCCC[N+](C)(CC)CCCCC,214.42,4.8,14,128.0,,,,7.581199645996094
168,14,CCCCCC[N+](C)(CCC)CCCC,214.42,4.8,14,128.0,,,,7.435173988342285
169,14,CCCCCC[N+](CC)(CC)CCCC,214.42,4.6,14,122.0,,,,7.636318206787109
170,14,CCCCCC[N+](CC)(CCC)CCC,214.42,4.8,14,120.0,,,,7.476151466369629
171,14,CCCCC[N+](C)(C)CCCCC(C)C,214.42,4.7,14,132.97,,,,7.332808494567871
172,14,CCCCC[N+](C)(CCC)CCC(C)C,214.42,4.7,14,136.97,,,,7.836421012878418
173,14,CCCCC[N+](C)(CCC)CCCCC,214.42,4.8,14,116.0,,,,7.864385604858398
174,14,CCCCC[N+](C)(CCCC)CCCC,214.42,4.6,14,118.0,,,,7.830781936645508
175,14,CCCCC[N+](CC)(CC)CCCCC,214.42,4.6,14,110.0,,,,7.610598564147949
176,14,CCCCC[N+](CC)(CCC)CCCC,214.42,4.6,14,128.0,,,,7.887335777282715
177,14,CCCCC[N+](CCC)(CCC)CCC,214.42,4.8,14,108.98,,,,7.89058780670166
178,14,CCCC[N+](C)(CCCC)CC(C)CC,214.42,4.5,14,128.97,,,,7.677459716796875
179,14,CCCC[N+](CC)(CCCC)CC(C)C,214.42,4.5,14,126.97,,,,7.809778213500977
180,14,CCCC[N+](CC)(CCCC)CCCC,214.42,4.4,14,104.23,,,,8.090953826904297
181,14,CCCC[N+](CCC)(CCC)CCCC,214.42,4.6,14,110.0,,,,8.12384033203125
182,14,CC[N+](CC(C)C)(CC(C)C)CC(C)C,214.42,4.6,14,126.89,,,,8.149141311645508
183,14,CC[N+](CC)(CC)CCCCCC(C)C,214.42,4.5,14,122.71,,,,7.020284652709961
184,15,CCC(C)CC[N+](C)(CC)CCCC(C)C,228.44,4.9,15,159.42,,,,7.463418006896973
185,15,CCCCCC(C)C[N+](C)(C)CC(C)CC,228.44,5.3,15,157.42,,,,7.066551208496094
186,15,CCCCCCCCCCCC[N+](C)(C)C,228.44,5.9,15,129.46,,,,6.336091995239258
187,15,CCCCCCCCCCC[N+](C)(C)CC,228.44,5.7,15,134.97,,,,6.498211860656738
188,15,CCCCCCCCCC[N+](C)(C)CCC,228.44,5.7,15,134.97,,,,6.561717510223389
189,15,CCCCCCCCCC[N+](C)(CC)CC,228.44,5.5,15,132.97,,,,6.390848159790039
190,15,CCCCCCCCC[N+](C)(C)CCCC,228.44,5.5,15,134.97,,,,6.667352199554443
191,15,CCCCCCCCC[N+](CC)(CC)CC,228.44,5.3,15,124.71,,,,6.708243370056152
192,15,CCCCCCCC[N+](C)(C)CCC(C)C,228.44,5.4,15,144.12,,,,6.864422798156738
193,15,CCCCCCCC[N+](C)(C)CCCCC,228.44,5.5,15,134.97,,,,6.779475212097168
194,15,CCCCCCCC[N+](C)(CC)CCCC,228.44,5.3,15,138.97,,,,6.9345316886901855
195,15,CCCCCCCC[N+](C)(CCC)CCC,228.44,5.5,15,130.97,,,,6.899858474731445
196,15,CCCCCCC[N+](C)(C)CCCC(C)C,228.44,5.2,15,144.12,,,,7.245946884155273
197,15,CCCCCCC[N+](C)(C)CCCCCC,228.44,5.5,15,134.97,,,,7.318500518798828
198,15,CCCCCCC[N+](CC)(CC)CCCC,228.44,5.1,15,132.97,,,,7.260896682739258
199,15,CCCCCCC[N+](CC)(CCC)CCC,228.44,5.3,15,130.97,,,,7.620343208312988
200,15,CCCCCC[N+](C)(C)CCCCC(C)C,228.44,5.2,15,144.12,,,,7.300408363342285
201,15,CCCCCC[N+](C)(CC(C)C)CC(C)C,228.44,5.3,15,145.42,,,,7.6411590576171875
202,15,CCCCCC[N+](C)(CC)CCCCCC,228.44,5.3,15,124.97,,,,7.571157455444336
203,15,CCCCCC[N+](C)(CCC)CCCCC,228.44,5.3,15,138.97,,,,7.48689079284668
204,15,CCCCCC[N+](C)(CCCC)CCCC,228.44,5.1,15,128.97,,,,7.73609733581543
205,15,CCCCCC[N+](CC)(CC)CCCCC,228.44,5.1,15,132.97,,,,7.543636322021484
206,15,CCCCCC[N+](CC)(CCC)CCCC,228.44,5.1,15,138.97,,,,7.552465438842773
207,15,CCCCCC[N+](CCC)(CCC)CCC,228.44,5.3,15,119.95,,,,7.744277000427246
208,15,CCCCC[N+](C)(CCCC)CCCCC,228.44,5.1,15,126.97,,,,7.638314247131348
209,15,CCCCC[N+](CC)(CCC)CCCCC,228.44,5.1,15,126.97,,,,7.808727264404297
210,15,CCCCC[N+](CC)(CCCC)CCCC,228.44,4.9,15,128.97,,,,8.049972534179688
211,15,CCCCC[N+](CCC)(CCC)CCCC,228.44,5.1,15,130.97,,,,7.874965667724609
212,15,CCCC[N+](C)(CCCC)CC(C)CCC,228.44,5.0,15,140.12,,,,7.842104911804199
213,15,CCCC[N+](CCC)(CCCC)CC(C)C,228.44,5.0,15,138.12,,,,7.973341941833496
214,15,CCCC[N+](CCC)(CCCC)CCCC,228.44,4.9,15,115.2,,,,7.921850204467773
215,16,CC(C)(C)C[N+](C)(CC(C)(C)C)CC(C)(C)C,242.47,5.5,4,185.44,,,,7.950209617614746
216,16,CC(C)CC[N+](C)(CCC(C)C)CCC(C)C,242.47,5.3,16,145.19,,,,7.898013114929199
217,16,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C,242.47,5.6,16,140.71,,,,
218,16,CCCC(C)CCC[N+](C)(CC)CC(C)CC,242.47,5.5,16,172.88,,,,7.244463920593262
219,16,CCCCCCCCCCCCC[N+](C)(C)C,242.47,6.4,16,140.61,,,,6.569677352905273
220,16,CCCCCCCCCCCC[N+](C)(C)CC,242.47,6.2,16,146.12,,,,6.524275779724121
221,16,CCCCCCCCCCC[N+](C)(C)CCC,242.47,6.2,16,146.12,,,,6.32222843170166
222,16,CCCCCCCCCC[N+](C)(C)CC(C)C,242.47,6.1,16,155.42,,,,6.8701677322387695
223,16,CCCCCCCCCC[N+](C)(C)CCCC,242.47,6.0,16,146.12,,,,6.773510456085205
224,16,CCCCCCCCCC[N+](CC)(CC)CC,242.47,5.9,16,135.85,,,,6.457707405090332
225,16,CCCCCCCCC[N+](C)(C)CCC(C)C,242.47,5.9,16,155.42,,,,6.908394813537598
226,16,CCCCCCCCC[N+](C)(C)CCCCC,242.47,6.0,16,146.12,,,,7.119366645812988
227,16,CCCCCCCCC[N+](C)(CC)CCCC,242.47,5.9,16,150.12,,,,6.718403339385986
228,16,CCCCCCCC[N+](C)(C)CCCC(C)C,242.47,5.7,16,155.42,,,,7.279513359069824
229,16,CCCCCCCC[N+](C)(C)CCCCCC,242.47,6.0,16,146.12,,,,7.2541399002075195
230,16,CCCCCCCC[N+](C)(CC)CCCCC,242.47,5.9,16,150.12,,,,7.2210283279418945
231,16,CCCCCCCC[N+](C)(CCC)CCCC,242.47,5.8,16,150.12,,,,7.271493911743164
232,16,CCCCCCCC[N+](CC)(CC)CCCC,242.47,5.7,16,144.12,,,,7.536913871765137
233,16,CCCCCCC[N+](C)(C)CCCCC(C)C,242.47,5.7,16,155.42,,,,7.26326847076416
234,16,CCCCCCC[N+](C)(C)CCCCCCC,242.47,6.0,16,130.12,,,,7.389514446258545
235,16,CCCCCCC[N+](C)(CC)CCCCCC,242.47,5.9,16,150.12,,,,7.569454669952393
236,16,CCCCCCC[N+](C)(CCC)CCCCC,242.47,5.8,16,150.12,,,,7.358293533325195
237,16,CCCCCCC[N+](C)(CCCC)CCCC,242.47,5.7,16,140.12,,,,7.362724304199219
238,16,CCCCCCC[N+](CCC)(CCC)CCC,242.47,5.8,16,131.1,,,,7.478604316711426
239,16,CCCCCC[N+](C)(CCC)CCCCCC,242.47,5.8,16,136.12,,,,7.782547950744629
240,16,CCCCCC[N+](C)(CCCC)CCCCC,242.47,5.7,16,150.12,,,,7.507656574249268
241,16,CCCCCC[N+](CC)(CC)CCCCCC,242.47,5.7,16,130.12,,,,7.754641532897949
242,16,CCCCCC[N+](CC)(CCCC)CCCC,242.47,5.5,16,140.12,,,,7.674884796142578
243,16,CCCCCC[N+](CCC)(CCC)CCCC,242.47,5.7,16,142.12,,,,7.656289577484131
244,16,CCCCC[N+](C)(CCCCC)CCCCC,242.47,5.7,16,121.59,,,,7.914268493652344
245,16,CCCCC[N+](CC)(CCCC)CCCCC,242.47,5.5,16,138.12,,,,7.814323425292969
