Index,Num_c,SMILES,cid
551,15,CCC(C)CC[N+](C)(CC)CCCC(C)C,123408627.0
634,15,CCCCCC(C)C[N+](C)(C)CC(C)CC,123829284.0
641,15,CCCCCCCCCCCC[N+](C)(C)C,8153.0
642,15,CCCCCCCCCCC[N+](C)(C)CC,90351725.0
643,15,CCCCCCCCCC[N+](C)(C)CCC,17915707.0
644,15,CCCCCCCCCC[N+](C)(CC)CC,10450839.0
646,15,CCCCCCCCC[N+](C)(C)CCCC,87493295.0
648,15,CCCCCCCCC[N+](CC)(CC)CC,2249305.0
651,15,CCCCCCCC[N+](C)(C)CCC(C)C,159915858.0
652,15,CCCCCCCC[N+](C)(C)CCCCC,71346400.0
654,15,CCCCCCCC[N+](C)(CC)CCCC,53833324.0
655,15,CCCCCCCC[N+](C)(CCC)CCC,143162850.0
660,15,CCCCCCC[N+](C)(C)CCCC(C)C,161625671.0
661,15,CCCCCCC[N+](C)(C)CCCCCC,23094264.0
669,15,CCCCCCC[N+](CC)(CC)CCCC,87526431.0
670,15,CCCCCCC[N+](CC)(CCC)CCC,87089434.0
676,15,CCCCCC[N+](C)(C)CCCCC(C)C,153568186.0
677,15,CCCCCC[N+](C)(CC(C)C)CC(C)C,176583041.0
682,15,CCCCCC[N+](C)(CC)CCCCCC,87507678.0
686,15,CCCCCC[N+](C)(CCC)CCCCC,87507746.0
688,15,CCCCCC[N+](C)(CCCC)CCCC,23088868.0
692,15,CCCCCC[N+](CC)(CC)CCCCC,175075511.0
694,15,CCCCCC[N+](CC)(CCC)CCCC,153959333.0
695,15,CCCCCC[N+](CCC)(CCC)CCC,20376280.0
718,15,CCCCC[N+](C)(CCCC)CCCCC,54255437.0
728,15,CCCCC[N+](CC)(CCC)CCCCC,118020676.0
730,15,CCCCC[N+](CC)(CCCC)CCCC,118020723.0
732,15,CCCCC[N+](CCC)(CCC)CCCC,87492071.0
753,15,CCCC[N+](C)(CCCC)CC(C)CCC,153210369.0
775,15,CCCC[N+](CCC)(CCCC)CC(C)C,148152475.0
776,15,CCCC[N+](CCC)(CCCC)CCCC,5248503.0
826,16,CC(C)(C)C[N+](C)(CC(C)(C)C)CC(C)(C)C,25069002.0
836,16,CC(C)CC[N+](C)(CCC(C)C)CCC(C)C,59019034.0
838,16,CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C,13726126.0
916,16,CCCC(C)CCC[N+](C)(CC)CC(C)CC,123793064.0
1021,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094.0
1022,16,CCCCCCCCCCCC[N+](C)(C)CC,62471.0
1023,16,CCCCCCCCCCC[N+](C)(C)CCC,54067909.0
1025,16,CCCCCCCCCC[N+](C)(C)CC(C)C,153847355.0
1026,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541.0
1028,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339.0
1031,16,CCCCCCCCC[N+](C)(C)CCC(C)C,159915859.0
1032,16,CCCCCCCCC[N+](C)(C)CCCCC,87493818.0
1034,16,CCCCCCCCC[N+](C)(CC)CCCC,159414620.0
1040,16,CCCCCCCC[N+](C)(C)CCCC(C)C,161625672.0
1041,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345.0
1045,16,CCCCCCCC[N+](C)(CC)CCCCC,123637971.0
1047,16,CCCCCCCC[N+](C)(CCC)CCCC,141640656.0
1049,16,CCCCCCCC[N+](CC)(CC)CCCC,127262847.0
1056,16,CCCCCCC[N+](C)(C)CCCCC(C)C,157100788.0
1057,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687.0
1063,16,CCCCCCC[N+](C)(CC)CCCCCC,175528723.0
1067,16,CCCCCCC[N+](C)(CCC)CCCCC,71382092.0
1069,16,CCCCCCC[N+](C)(CCCC)CCCC,150372540.0
1076,16,CCCCCCC[N+](CCC)(CCC)CCC,20266119.0
1097,16,CCCCCC[N+](C)(CCC)CCCCCC,58935187.0
1101,16,CCCCCC[N+](C)(CCCC)CCCCC,87508904.0
1108,16,CCCCCC[N+](CC)(CC)CCCCCC,20092195.0
1114,16,CCCCCC[N+](CC)(CCCC)CCCC,151792739.0
1116,16,CCCCCC[N+](CCC)(CCC)CCCC,23088825.0
1146,16,CCCCC[N+](C)(CCCCC)CCCCC,13767188.0
1163,16,CCCCC[N+](CC)(CCCC)CCCCC,118020801.0
1164,16,CCCCC[N+](CC)(CCCCC)CC(C)C,87479471.0
1169,16,CCCCC[N+](CCC)(CCC)CCCCC,85717237.0
1171,16,CCCCC[N+](CCC)(CCCC)CCCC,142514259.0
1232,16,CCCC[N+](CCCC)(CC(C)C)CC(C)C,57477251.0
1233,16,CCCC[N+](CCCC)(CCCC)CC(C)C,19858534.0
1234,16,CCCC[N+](CCCC)(CCCC)CCCC,16028.0
1277,16,CCC[N+](CCC)(CCC(C)C)CCC(C)C,127262902.0
1579,17,CCCCCCCCCCCCCC[N+](C)(C)C,14251.0
1580,17,CCCCCCCCCCCCC[N+](C)(C)CC,87744372.0
1581,17,CCCCCCCCCCCC[N+](C)(C)CCC,10786192.0
1582,17,CCCCCCCCCCCC[N+](C)(CC)CC,14494908.0
1584,17,CCCCCCCCCCC[N+](C)(C)CCCC,122481735.0
1585,17,CCCCCCCCCCC[N+](C)(CC)CCC,158020210.0
1586,17,CCCCCCCCCCC[N+](CC)(CC)CC,11701609.0
1589,17,CCCCCCCCCC[N+](C)(C)CCC(C)C,159915860.0
1590,17,CCCCCCCCCC[N+](C)(C)CCCCC,122481312.0
1593,17,CCCCCCCCCC[N+](C)(CCC)CCC,127262909.0
1594,17,CCCCCCCCCC[N+](CC)(CC)CCC,150914213.0
1598,17,CCCCCCCCC[N+](C)(C)CCCC(C)C,161625673.0
1599,17,CCCCCCCCC[N+](C)(C)CCCCCC,53961664.0
1614,17,CCCCCCCC[N+](C)(C)CCCCC(C)C,157100789.0
1615,17,CCCCCCCC[N+](C)(C)CCCCCCC,53805370.0
1627,17,CCCCCCCC[N+](C)(CCCC)CCCC,127262900.0
1634,17,CCCCCCCC[N+](CCC)(CCC)CCC,54170758.0
1656,17,CCCCCCC[N+](C)(CCC)CCCCCC,54058603.0
1675,17,CCCCCCC[N+](CCC)(CCC)CCCC,151952654.0
1703,17,CCCCCC[N+](C)(CCCC)CCCCCC,57010389.0
1707,17,CCCCCC[N+](C)(CCCCC)CCCCC,53812961.0
1721,17,CCCCCC[N+](CC)(CCC)CCCC(C)C,123477148.0
1734,17,CCCCCC[N+](CCC)(CCCC)CCCC,151583097.0
1769,17,CCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,19035240.0
1799,17,CCCCC[N+](CC)(CCCCC)CCCCC,14022639.0
1810,17,CCCCC[N+](CCC)(CCCC)CCCCC,54574573.0
1814,17,CCCCC[N+](CCCC)(CCCC)CCCC,3528502.0
1899,17,CCCC[N+](CCCC)(CCCC)CC(C)(C)C,59364675.0
1901,17,CCCC[N+](CCCC)(CCCC)CCC(C)C,18185862.0
1979,18,CC(C)CCCCC[N+](C)(C)CCCCCC(C)C,19706500.0
2376,18,CCCCCCCCCCCCCCC[N+](C)(C)C,423584.0
2377,18,CCCCCCCCCCCCCC[N+](C)(C)CC,110474.0
2378,18,CCCCCCCCCCCCC[N+](C)(C)CCC,159160365.0
2380,18,CCCCCCCCCCCC[N+](C)(C)CC(C)C,85551862.0
2381,18,CCCCCCCCCCCC[N+](C)(C)CCCC,407819.0
2382,18,CCCCCCCCCCCC[N+](C)(CC)CCC,14494857.0
2383,18,CCCCCCCCCCCC[N+](CC)(CC)CC,28940.0
2386,18,CCCCCCCCCCC[N+](C)(C)CCC(C)C,157493963.0
2387,18,CCCCCCCCCCC[N+](C)(C)CCCCC,122481535.0
2391,18,CCCCCCCCCCC[N+](CC)(CC)CCC,87491732.0
2395,18,CCCCCCCCCC[N+](C)(C)CCCC(C)C,161625674.0
2396,18,CCCCCCCCCC[N+](C)(C)CCCCCC,19369139.0
2400,18,CCCCCCCCCC[N+](C)(CC)CCCCC,160997003.0
2405,18,CCCCCCCCCC[N+](CC)(CCC)CCC,152402758.0
2411,18,CCCCCCCCC[N+](C)(C)CCCCC(C)C,157100790.0
2412,18,CCCCCCCCC[N+](C)(C)CCCCCCC,122481686.0
2428,18,CCCCCCCCC[N+](CC)(CC)CCCCC,22408859.0
2431,18,CCCCCCCCC[N+](CCC)(CCC)CCC,22408878.0
2439,18,CCCCCCCC[N+](C)(C)CCCCCCCC,62582.0
2465,18,CCCCCCCC[N+](CC)(CC)CCCCCC,88102340.0
2471,18,CCCCCCCC[N+](CC)(CCCC)CCCC,152181181.0
2473,18,CCCCCCCC[N+](CCC)(CCC)CCCC,87493375.0
2502,18,CCCCCCC[N+](C)(CCCC)CCCCCC,175529229.0
2516,18,CCCCCCC[N+](CC)(CC)CCCCCCC,87534239.0
2570,18,CCCCCC[N+](C)(CCCCC)CCCCCC,23534989.0
2574,18,CCCCCC[N+](CC(C)C)(CC(C)C)CC(C)C,176583038.0
2607,18,CCCCCC[N+](CC)(CCCCCC)CC(C)C,87480234.0
2615,18,CCCCCC[N+](CCC)(CCC)CCCCCC,23088856.0
2623,18,CCCCCC[N+](CCCC)(CCCC)CCCC,19858518.0
2730,18,CCCCC[N+](CCC)(CCCCC)CCCCC,14022636.0
2737,18,CCCCC[N+](CCCC)(CCCC)CCCCC,87534260.0
2848,18,CCCC[N+](CCCC)(CCC(C)C)CCC(C)C,44721198.0
2854,18,CCCC[N+](CCCC)(CCCC)CCCC(C)C,150353238.0
3487,19,CCCCCCCCCCCCCCCC[N+](C)(C)C,2681.0
3488,19,CCCCCCCCCCCCCCC[N+](C)(C)CC,2724228.0
3489,19,CCCCCCCCCCCCCC[N+](C)(C)CCC,19704734.0
3490,19,CCCCCCCCCCCCCC[N+](C)(CC)CC,54500718.0
3492,19,CCCCCCCCCCCCC[N+](C)(C)CCCC,53775594.0
3494,19,CCCCCCCCCCCCC[N+](CC)(CC)CC,10446619.0
3497,19,CCCCCCCCCCCC[N+](C)(C)CCC(C)C,85551865.0
3498,19,CCCCCCCCCCCC[N+](C)(C)CCCCC,54510551.0
3500,19,CCCCCCCCCCCC[N+](C)(CC)CCCC,14494864.0
3501,19,CCCCCCCCCCCC[N+](C)(CCC)CCC,118583984.0
3502,19,CCCCCCCCCCCC[N+](CC)(CC)CCC,14494918.0
3506,19,CCCCCCCCCCC[N+](C)(C)CCCC(C)C,157819828.0
3507,19,CCCCCCCCCCC[N+](C)(C)CCCCCC,19369143.0
3515,19,CCCCCCCCCCC[N+](CC)(CC)CCCC,87495438.0
3522,19,CCCCCCCCCC[N+](C)(C)CCCCC(C)C,157100791.0
3523,19,CCCCCCCCCC[N+](C)(C)CCCCCCC,87129446.0
3524,19,CCCCCCCCCC[N+](C)(CC(C)C)CC(C)C,176583048.0
3535,19,CCCCCCCCCC[N+](C)(CCCC)CCCC,13743819.0
